sale_id,product_id,customer_id,location_id,order_date_timestamp,quantity,unit_price,total_amount,discount_applied,payment_method,delivery_status,order_date
SALE00001,B0B2C5MJN6,CUST0023,LOC019,2023-01-01,4,32990.0,105568.0,20,NetBanking,Delivered,2023-01-01
SALE00002,B07KKJPTWB,CUST0019,LOC018,2023-01-01,5,1599.0,6396.0,20,COD,Delivered,2023-01-01
SALE00003,B08Y1SJVV5,CUST0063,LOC006,2023-01-01,2,99.0,188.1,5,NetBanking,Delivered,2023-01-01
SALE00004,B0162K34H2,CUST0436,LOC004,2023-01-01,4,849.0,2716.8,20,NetBanking,Delivered,2023-01-01
SALE00005,B09BW334ML,CUST0384,LOC009,2023-01-02,1,349.0,314.1,10,NetBanking,Returned,2023-01-02
SALE00006,B09ZDVL7L8,CUST0136,LOC003,2023-01-02,4,2199.0,8796.0,0,COD,Returned,2023-01-02
SALE00007,B09FFK1PQG,CUST0342,LOC009,2023-01-02,1,873.0,785.7,10,Card,Delivered,2023-01-02
SALE00008,B07GLSKXS1,CUST0291,LOC015,2023-01-03,1,1199.0,1139.05,5,NetBanking,Delivered,2023-01-03
SALE00009,B07KSB1MLX,CUST0166,LOC003,2023-01-03,2,1089.0,1960.2,10,COD,Delivered,2023-01-03
SALE00010,B08VGDBF3B,CUST0343,LOC005,2023-01-03,2,395.0,671.5,15,COD,Delivered,2023-01-03
SALE00011,B09P8M18QM,CUST0046,LOC001,2023-01-04,4,1369.0,5476.0,0,NetBanking,Returned,2023-01-04
SALE00012,B08498H13H,CUST0267,LOC005,2023-01-04,5,1519.0,6455.75,15,COD,Delivered,2023-01-04
SALE00013,B08Y1TFSP6,CUST0235,LOC012,2023-01-04,3,149.0,402.3,10,NetBanking,Delivered,2023-01-04
SALE00014,B09LJ116B5,CUST0119,LOC020,2023-01-05,4,16999.0,61196.4,10,UPI,Delivered,2023-01-05
SALE00015,B0BM9H2NY9,CUST0284,LOC002,2023-01-05,3,699.0,2097.0,0,UPI,Delivered,2023-01-05
SALE00016,B09YLFHFDW,CUST0023,LOC020,2023-01-05,5,1599.0,7995.0,0,COD,Delivered,2023-01-05
